Authors,Editors,Translators,Description,Link,Genders,Name,Year,Written,lat_written,lon_written,6_lat_written,6_lon_written,7_lat_written,7_lon_written,8_lat_written,8_lon_written,Rewritten,lat_rewritten,lon_rewritten,6_lat_rewritten,6_lon_rewritten,7_lat_rewritten,7_lon_rewritten,8_lat_rewritten,8_lon_rewritten,Published 1,lat_pub1,lon_pub1,6_lat_pub1,6_lon_pub1,7_lat_pub1,7_lon_pub1,8_lat_pub1,8_lon_pub1,Published 2,lat_pub2,lon_pub2,6_lat_pub2,6_lon_pub2,7_lat_pub2,7_lon_pub2,8_lat_pub2,8_lon_pub2,Publisher,Language,Genre 1 (book or script),Genre 2 (quanitity of plays translated),Genre 3: other details
Baudissin,Max Josef Wolff,,"Writer, translator, satirist Max Wolff (1868-1941) put his name to eight revisions of texts from the Schlegel-Tieck edition (including Baudissin's Othello) in a Complete Works issued by the mass-market publisher Insel Verlag (1920-27). In 1926 a Complete Works appeared with Wegweiser Verlag with Wolff's name as 'reviser' of all the plays and poems: our text is from that edition.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Wolff,"m, m",Othello Der Mohr von Venedig,1926,Dresden,51.050409,13.737262,51.050409,13.737262,51.050409,13.737262,51.050409,13.737262,Berlin,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,Berlin,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,,,,,,,,,,Volksverband,,Book,Complete works,
Erich Engel,,,"This is an unpublished theatre script, adapted from Baudissin's version by Erich Engel, in 14 scenes, for a production he directed at the Deutsches Theater, Berlin, in 1939. Engel (1891-1966) was the leading German director of Bertolt Brecht's early work in the 1920s, and also a prolific film director (after the war, in East Germany). His 1939 production of Othello starred Ferdinand Marian as Iago and Ewald Balser as Othello. On the eve of war, under Nazi rule, the production affirmed humanistic values (Wilhelm Hortmann, ""Shakespeare on the German Stage. Vol 2: 20th Century"" 1998, pp. 148ff. ). Reviewers noted that the Moor appeared as a man of 'soldierly self-possession' and 'masculine nobility', and Iago as a 'Levantine'. Engel drastically revised the text. His changes include cutting Iago's closing speeches in Act 1 Scene 3 (scene 4 in Engels) and Act 2, Scene 4 (scene 5 in Engels). Only a very short version of the 1/3 monologue closes the harbour scene. Thus Iago's motivations are unclear. The opening scene of the 2010 film “Jew Suss: Rise and Fall” (“Jud Süß – Film ohne Gewissen”, dir. Oskar Roehler) is based on this production: Iago/Marian (Tobias Moretti) and Othello/Balser (identified in the film as Adolf Wilhelm Deutscher, and Jewish) give a private pre-premiere performance for Joseph Goebbels (Moritz Bleibtreu). Among other historical inaccuracies: the actors speak Baudissin's version of the dialogue, not Engels's; 'Othello' wears crude blackface: in Engel's production, visual and behavioural 'racial difference' was in one sense moderated, in another deflected. Othello appeared as a light-brown-skinned ‘Berber’ (a North African) while Iago, as a ‘Levantine’, appeared as the more reviled ‘racial other’. This script was re-used in a production in 1963 in Regensburg.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Engel,m,Othello,1939,Dresden,51.050409,13.737262,51.050409,13.737262,51.050409,13.737262,51.050409,13.737262,Berlin,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,Berlin,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,,,,,,,,,,Felix Bloch,,Script,<10 plays,
Hedwig Schwarz,,,"Hedwig Schwarz (1887-c.1985) is the only woman who has translated ‘Othello’ into German. (But Bab and Levy [q.v.] and Lauterbach [q.v.] are ‘Othello’ texts signed by men, acknowledging ‘assistance’ from women. No doubt many men fail to acknowledge such assistance, or worse.) Within the VVV Othello Corpus, Schwarz’s ‘Othello’ is the translation which has had least public reception. Her text exists in the form of an unbound typescript, with a handwritten date ‘1941’ on the folder cover, in the Shakespeare Library at Munich University. It seems never to have been studied or perhaps even read, let alone performed or published. Schwarz’s translations of 8 other Shakespeare plays, in theatre publishers’ editions (not for the book trade), are recorded in Blinn and Schmidt’s ‘Shakespeare – deutsch’ bibliography (2003), where they are variously dated 1938-41, and 1955. Schwarz was far from alone in devoting herself to Shakespeare translation during the war (e.g. Bausissin ed Brunner, Flatter, Rothe, Zeynek, q.v.). Several (7) of her translations are still available from a theatre publisher. We have no information on performances using her texts. Schwarz’s date of death is unconfirmed, unlike that of all the men who have translated ‘Othello’. Her ‘Othello’ text certainly displays a ‘womanly’ bias at some points. She published short essays on other people’s recent Shakespeare translations in the journal of the Deutsche Shakespeare-Gesellschaft in 1948 and 1956, but little else is known about her at present.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Schwarz,f,"Othello, der Maure von Venedig",1941,not known,,,,,,,,,,,,,,,,,,not published,,,,,,,,,,,,,,,,,,Not published,,Script,>10 plays,
Baudissin,Karl Brunner,,"Wolf Graf Baudissin (1789-1878) translated 15 of Shakespeare’s plays for the so-called ‘Schlegel-Tieck’ edition (1825-33), including ‘Othello’ (1832). This edition has never been out of print. Even 180 years later, it is the default Shakespeare for German-language readers, students, and theatres. Generations of editors have ‘improved’ and ‘corrected’ the texts. Karl Brunner (1887-1965) was a Professor of English Language and Literature who published in the 1920s and 30s on topics from medieval epics to contemporary American poetry. He became the Rector of Innsbruck University (Austria) in 1937-38. He was then forced into retirement, because he protested after the German National Socialists took over Austria. He published on Anglo-Saxon grammar during the Second World War. When the war ended, he was re-appointed as Rector in 1945-46. In 1946-47, Brunner published dual-language editions of ‘Hamlet’, ‘Othello’ and ‘Romeo and Juliet’, as well as a translation of Washington Irving’s ‘Sketchbook’. Brunner used the ‘Globe’ Shakespeare edition of 1864 for his English text, and revised the German texts of the Schlegel-Tieck edition (in the case of ‘Othello’, that means Baudissin’s text). Brunner made changes where the German text seemed to him to be outdated, or to be based on a misunderstanding or a faulty source. He supplied a detailed critical introduction, and appended numerous comments on specific passages. His texts on facing pages are not cluttered with any note numbers, so are welcoming to general readers, even perhaps theatre directors. The fact that Brunner published 4 translations (3 of them in critical editions) so soon after the end of the war suggests that he may have been working on them in the preceding years.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Baudissin%20ed%20Brunner,"m, m","Othello, der Mohr von Venedig",1947,Dresden,51.050409,13.737262,51.050409,13.737262,51.050409,13.737262,51.050409,13.737262,Innsbruck,47.269212,11.404102,47.269212,11.404102,47.269212,11.404102,47.269212,11.404102,Linz,48.30694,14.28583,48.30694,14.28583,48.30694,14.28583,48.30694,14.28583,,,,,,,,,,Österreichischer Verlag für Belletristik und Wissenschaft,,Book,Complete works,Study edition
Theodor von Zeynek,,,"Theodor Ritter von Zeynek (1873-1948) was a colonel in the Austrian army, serving in general staff headquaters and on the Eastern Front during the First World War. He retired in 1918 and spent the rest of his life writing military history, autobiography, studies of Goethe, poems to accompany Beethoven’s sonatas, and translations of 37 of Shakespeare’s plays. His Shakespeare texts were unpublished at his death. Many (not Othello) were published in the 1950s and 60s in a cheap book series run by followers of Othmar Spann (1878-1950). Spann was an aristocratic, academic ‘Austrofascist’ (and an opponent of the German National Socialists). It is more than likely that Zeynek had direct relations with Spann and his circle. 23 of Zeynek’s Shakespeare translations are still available from a theatrical script distributor. His Othello was used at least twice in the 1960s.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Zeynek,m,"Othello, der Mohr von Venedig",1948,Mödling,48.08255,16.2869,47.84914617,15.73832030,47.939329805,15.982492187,47.98254999,16.196899,,,,,,,,,,Munich,48.136607,11.577085,48.136607,11.577085,48.136607,11.577085,48.136607,11.577085,,,,,,,,,,Ahn & Simrock,,Script,Complete works,
Richard Flatter,,,"Richard Flatter (1891-1960) was a scholar as well as a much admired translator of Shakespeare, and theatrical director. He first published translations of Shakespeare plays and poems in Vienna in 1938, emigrated the same year following the fascist take-over, and returned to Vienna in 1953 after years of exile in England, deportation to Australia, and post-war residence in the USA. He published books in English including “The Moor of Venice” (London, 1950) – a study of Othello focussed on theatricality and character psychology – and a study of the printing of the First Folio (“Shakespeare’s Producing Hand”, New York 1948). His translations were completed in the English-speaking world. He published an edition with 26 plays (Vienna, 1952-55), placing Othello first in the first volume. The remaining plays (history plays: ‘Königsdramen’) came out in a posthumous volume in 1962.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Flatter,m,Othello der Mohr von Venedig,1952,London,51.507335,-0.127683,51.507335,-0.127683,51.507335,-0.127683,51.507335,-0.127683,,,,,,,,,,Vienna,48.208174,16.373819,48.764773807,16.956027343,48.4347738072,16.8060273437,48.3881739989,16.5938190,Zurich,47.36865,8.539183,47.238650,8.539183,47.36865,8.539183,47.36865,8.539183,Walter Krieg,,Book,Complete works,
Rudolf Schaller,,,"Richard Flatter (1891-1960) was a scholar as well as a much admired translator of Shakespeare, and theatrical director. He first published translations of Shakespeare plays and poems in Vienna in 1938, emigrated the same year following the fascist take-over, and returned to Vienna in 1953 after years of exile in England, deportation to Australia, and post-war residence in the USA. He published books in English including “The Moor of Venice” (London, 1950) – a study of Othello focussed on theatricality and character psychology – and a study of the printing of the First Folio (“Shakespeare’s Producing Hand”, New York 1948). His translations were completed in the English-speaking world. He published an edition with 26 plays (Vienna, 1952-55), placing Othello first in the first volume. The remaining plays (history plays: ‘Königsdramen’) came out in a posthumous volume in 1962.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Schaller,m,Othello,1959,Berlin,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,,,,,,,,,,Berlin,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,,,,,,,,,,Rütten & Loening,,Book,Complete works,
Rudolf Alexander Schröder,,,"During the period of Nazi dictatorship (1933-45), Rudolf Alexander Schröder (1878-1962) was a prominent writer associated with the Bekennende Kirche (Confessing Church) - a Christian Protestant movement resisting Nazi ideological control. His 'inner emigration' became a little controversial after the fall of the regime - some call his relationship with the regime 'ambivalent. But Schröder was a well respected conservative, anti-fascist poet, writer of hymns, lay preacher, and above all literary translator from ancient and modern languages. His Shakespeare translations (10 of the plays) are often strikingly original. They only appeared posthumously. Balz Engler published a study of them in 1974.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Schr%C3%B6der,m,Othello,1962,Bremen,53.079296,8.801694,53.079296,8.801694,53.079296,8.801694,53.079296,8.801694,,,,,,,,,,Frankfurt a.M.,50.110922,8.682127,50.36735209,9.3305292967,50.297352103000000,9.3005292966,50.1309219,8.90212699,,,,,,,,,,Suhrkamp,,Book,>10 plays,
Hans Rothe,,,"In the 1920s-30s and the 1950s-60s, Hans Rothe (1894-1978) was a very popular and controversial Shakespeare translator. He was very popular with theatres and readers – his work was widely staged and he published a ‘selected’ twelve plays in 1927-35. But Shakespeare scholars attacked him for taking liberties with plays' structures and misinterpreting Shakespeare's language, and the National Socialist regime (1933-45) persecuted him. The Culture Minister, Josef Goebbels, personally denounced Rothe’s ‘liberal’ and ‘democratic’ work in 1936. He fled from Germany. He returned after the end of the war and published a Complete Plays (1955-59), including Othello. In his later work he was far more faithful to his source texts than he had been before the war. He titled his collection ""The Elizabethan Shakespeare"", claiming to understand the ‘true’ Shakespeare, as a practical dramatist and man of his time, far better than other translators. Other translators, even today, tend to dismiss Rothe's work as incompetent and vulgar. Rothe seems to have revised his own work frequently. The text used here, published in a 1963 edition, differs in some details from the 1950s text. Rothe is the only German translator apart from Schwarz (1941, q.v.) to translate ""Moor"" in the title with ""Maure"" (signifying North African / Arabian physiognomy) rather than ""Mohr"" (signifying Black African).",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Rothe,m,"Othello, der Maure von Venedig",1963,Berlin,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,,,,,,,,,,Munich,48.136607,11.577085,48.136607,11.577085,48.136607,11.577085,48.136607,11.577085,Vienna,48.208174,16.373819,48.764773807,16.956027343,48.4347738072,16.8060273437,48.3881739989,16.5938190,Langen & Müller,,Book,Complete works,
Arrigo Boito,,"Walter Felsenstein, Carl Stueber","Walter Felsenstein (1901-75) was a celebrated Austrian-born opera, theatre and film director. Based from 1940 in Berlin (later: East Berlin, capital of the German Democratic Republic, 1949-89), Felsenstein was the founder and artistic director of the Berlin Komische Oper (1947-75). He directed Verdi’s opera ‘Otello’ on stage in 1959, and on film in 1969 (the DVD is available). Felsenstein published numerous translations and adaptations of opera libretti and guides. In 1964 he published a facing-page translation of Arrigo Boito’s ‘Otello’ libretto, done with the assistance of the musicologist Carl Stueber (1893-1984). In many passages, Boito’s text is closely based on Shakespeare’s, but the libretto is very differently structured. The Felsenstein/Stueber translation from Italian recalls Baudissin’s (q.v.) translation from English in places.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Felsenstein%20Stueber%20Boito,"m, m, m",Otello / Othello,1964,Milan,45.465454,9.186516,45.465454,9.186516,45.465454,9.186516,45.465454,9.186516,Berlin,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,Munich,48.136607,11.577085,48.136607,11.577085,48.136607,11.577085,48.136607,11.577085,,,,,,,,,,Goldmann,,Book,<10 plays,Libretto
Erich Fried,,,"Erich Fried (1921-1988), Austrian Jewish poet, associated with radical left-wing causes and hugely popular love poetry. Fried fled Vienna in 1938 after the Gestapo killed his father, and lived for the rest of his life in England. From 1952-68 he worked for the German Service of the BBC, while publishing experimental poetry and political and cultural essays in Germany and Austria. Fried gave up the job to concentrate on politically engaged writing, and other projects including translations of Shakespeare’s plays. Eventually he translated 27 of them (from 1964 to the end of his life). His translations are still in print as well as being used in theatres. Talking about the work of translating, Fried describes consulting multiple previous versions. He especially values Eschenburg, because of his pre-industrial language (see “Is Shakespeare Still Our Contemporary”, ed John Elsom, 1989, 39-40; ). Fried's Othello is dedicated (with sarcasm) to the British Home Secretary, Reginald Maudlin, who ordered the deportation of Rudi Dutschke, a leader of the German student movement. Dutschke had come to Britain to recuperate following an assassination attempt. Maudlin exemplifies hypocrisy and the abuse of power.",http://www.delightedbeauty.org/vvv/Visualise?CorpusName=Othello%2C%20Act%201%20Scene%203&NameIfVersion=Fried,m,Othello,1972,London,51.507335,-0.127683,51.507335,-0.127683,51.507335,-0.127683,51.507335,-0.127683,,,,,,,,,,Berlin,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,52.519171,13.406091,,,,,,,,,,Klaus Wagenbach,,Book,>10 plays,
